train_loss_step,epoch,step,train_loss_epoch
0.07015391439199448,0,9,
0.04720807075500488,0,19,
0.029941672459244728,0,29,
0.039818454533815384,0,39,
0.04184255748987198,0,49,
0.04378568381071091,0,59,
0.0383940264582634,0,69,
0.05863713100552559,0,79,
0.042007122188806534,0,89,
0.06629917770624161,0,99,
0.04737727716565132,0,109,
0.03953544422984123,0,119,
0.07683997601270676,0,129,
0.053018245846033096,0,139,
0.03989893198013306,0,149,
0.051100362092256546,0,159,
0.05353718623518944,0,169,
0.045398712158203125,0,179,
0.04697747901082039,0,189,
0.0738295316696167,0,199,
0.06355362385511398,0,209,
0.05551159009337425,0,219,
0.06122303009033203,0,229,
0.045507196336984634,0,239,
0.04040216654539108,0,249,
0.0329509973526001,0,259,
0.040317777544260025,0,269,
0.04940199851989746,0,279,
0.058593425899744034,0,289,
0.04503541439771652,0,299,
0.04663844406604767,0,309,
0.026923157274723053,0,319,
0.047964535653591156,0,329,
0.04000772535800934,0,339,
0.03844042122364044,0,349,
0.040268681943416595,0,359,
0.04517709091305733,0,369,
0.045714788138866425,0,379,
0.03722129762172699,0,389,
0.059489794075489044,0,399,
0.05291435495018959,0,409,
0.03840870410203934,0,419,
0.06955361366271973,0,429,
0.05265573039650917,0,439,
0.056958477944135666,0,449,
0.051938463002443314,0,459,
0.058509428054094315,0,469,
0.03601033613085747,0,479,
0.054722148925065994,0,489,
0.055209893733263016,0,499,
0.04625651612877846,0,509,
0.05135465785861015,0,519,
0.05765785649418831,0,529,
0.04330366849899292,0,539,
0.05207451060414314,0,549,
0.034593675285577774,0,559,
0.05950668081641197,0,569,
0.05228549987077713,0,579,
0.038410160690546036,0,589,
0.06863321363925934,0,599,
0.0583796426653862,0,609,
0.052568547427654266,0,619,
0.05558418110013008,0,629,
0.03214066103100777,0,639,
0.056389886885881424,0,649,
0.0486694797873497,0,659,
0.04532608017325401,0,669,
0.03467316925525665,0,679,
0.06243633106350899,0,689,
0.06720726937055588,0,699,
0.04310100898146629,0,709,
0.04705426096916199,0,719,
0.0456019751727581,0,729,
0.05413248762488365,0,739,
0.04688875749707222,0,749,
0.06653247028589249,0,759,
0.0426640510559082,0,769,
0.06761477887630463,0,779,
0.04865335300564766,0,789,
0.07352948188781738,0,799,
0.048041123896837234,0,809,
0.05284077674150467,0,819,
0.04157555103302002,0,829,
0.06286720186471939,0,839,
0.039745014160871506,0,849,
0.045809295028448105,0,859,
0.06539024412631989,0,869,
0.06224776804447174,0,879,
0.05637657642364502,0,889,
0.03822799026966095,0,899,
0.05684235319495201,0,909,
0.044371526688337326,0,919,
0.0415649339556694,0,929,
0.05429419130086899,0,939,
0.0393572673201561,0,949,
0.04252856597304344,0,959,
0.04680529609322548,0,969,
0.07355325669050217,0,979,
0.04033314064145088,0,989,
0.048474352806806564,0,999,
0.04736829176545143,0,1009,
0.0452723354101181,0,1019,
0.054589830338954926,0,1029,
0.06643509864807129,0,1039,
0.04854953661561012,0,1049,
0.05802038684487343,0,1059,
0.035102326422929764,0,1069,
0.061825528740882874,0,1079,
0.049798011779785156,0,1089,
0.04195961728692055,0,1099,
0.03300529718399048,0,1109,
0.057722289115190506,0,1119,
0.04667060822248459,0,1129,
0.05971124395728111,0,1139,
0.049390487372875214,0,1149,
0.04980666935443878,0,1159,
0.05631019175052643,0,1169,
0.056151729077100754,0,1179,
0.055261287838220596,0,1189,
0.07433059066534042,0,1199,
0.05179291591048241,0,1209,
0.05216865986585617,0,1219,
0.04091117903590202,0,1229,
0.04611460492014885,0,1239,
0.06054586172103882,0,1249,
0.03350012004375458,0,1259,
0.0413411408662796,0,1269,
0.04619552195072174,0,1279,
0.0414840467274189,0,1289,
0.045420218259096146,0,1299,
0.06230161711573601,0,1309,
0.04365574195981026,0,1319,
0.03940882161259651,0,1329,
0.05781760439276695,0,1339,
0.059749167412519455,0,1349,
0.04913811758160591,0,1359,
0.045045722275972366,0,1369,
0.05166030675172806,0,1379,
0.08661340177059174,0,1389,
0.05044123902916908,0,1399,
0.08315441012382507,0,1409,
0.03035886026918888,0,1419,
0.0531330481171608,0,1429,
0.05186941847205162,0,1439,
0.05253630876541138,0,1449,
0.04000621661543846,0,1459,
0.0598282553255558,0,1469,
0.03801631182432175,0,1479,
0.05191396549344063,0,1489,
0.054614342749118805,0,1499,
0.03585756942629814,0,1509,
0.05897724628448486,0,1519,
0.0592709518969059,0,1529,
0.04064737632870674,0,1539,
