epoch,step,train_loss_epoch,train_loss_step
0,9,,5.314885139465332
0,19,,5.824025630950928
0,29,,5.596834182739258
0,39,,5.492300510406494
0,49,,6.612024307250977
0,59,,6.083439350128174
0,69,,5.232058048248291
0,79,,6.290842533111572
0,89,,6.352078914642334
0,99,,5.892104625701904
0,109,,5.868926048278809
0,119,,6.125545978546143
0,129,,5.336317539215088
0,139,,6.109538555145264
0,149,,4.357247829437256
0,159,,6.362927436828613
0,169,,6.069245338439941
0,179,,5.606185436248779
0,189,,4.952578067779541
0,199,,4.702376842498779
0,209,,5.547994613647461
0,219,,6.465346813201904
0,229,,5.003856182098389
0,239,,5.647093772888184
0,249,,4.9602789878845215
0,259,,7.40030574798584
0,269,,5.046608924865723
0,279,,5.3807172775268555
0,289,,5.1075825691223145
0,299,,5.394011497497559
0,309,,4.856015682220459
0,319,,5.301279544830322
0,329,,5.706216335296631
0,339,,5.219827175140381
0,349,,5.147416591644287
0,359,,5.486436367034912
0,367,5.64410924911499,
1,369,,6.121761798858643
1,379,,5.689762115478516
1,389,,5.647691249847412
1,399,,6.065512180328369
1,409,,4.48103666305542
1,419,,5.512487888336182
1,429,,5.592169284820557
1,439,,5.504842281341553
1,449,,5.5378851890563965
1,459,,4.222654819488525
1,469,,4.721810340881348
1,479,,4.966457843780518
1,489,,4.0019211769104
1,499,,4.409739971160889
1,509,,4.646583080291748
1,519,,4.814090728759766
1,529,,5.03802490234375
1,539,,4.386912822723389
1,549,,4.527196884155273
1,559,,4.655616283416748
1,569,,5.163941383361816
1,579,,3.9816510677337646
1,589,,4.251690864562988
1,599,,5.162171363830566
1,609,,3.6873621940612793
1,619,,4.704447269439697
1,629,,4.56917667388916
1,639,,4.116407871246338
1,649,,4.791501998901367
1,659,,3.4047040939331055
1,669,,4.079484939575195
1,679,,3.874605894088745
1,689,,4.076967239379883
1,699,,4.915659427642822
1,709,,4.782684326171875
1,719,,4.328680515289307
1,729,,3.9930543899536133
1,735,4.541007041931152,
2,739,,3.898677110671997
2,749,,3.9554312229156494
2,759,,4.0063276290893555
2,769,,4.4379119873046875
2,779,,3.8687005043029785
2,789,,4.281228065490723
2,799,,3.81701397895813
2,809,,3.694035768508911
2,819,,4.662079334259033
2,829,,3.7744247913360596
2,839,,4.1960248947143555
2,849,,4.792354583740234
2,859,,3.600698709487915
2,869,,3.65043044090271
2,879,,4.298982620239258
2,889,,5.0855913162231445
2,899,,3.79111647605896
2,909,,3.541761636734009
2,919,,3.0964839458465576
2,929,,4.131609916687012
2,939,,4.3139777183532715
2,949,,4.062966823577881
2,959,,3.62172269821167
2,969,,3.685854434967041
2,979,,4.417996883392334
2,989,,4.421370983123779
2,999,,3.1907336711883545
2,1009,,3.594884157180786
2,1019,,4.338353157043457
2,1029,,3.597111463546753
2,1039,,4.540088653564453
2,1049,,4.64238166809082
2,1059,,3.8931896686553955
2,1069,,3.2784814834594727
2,1079,,3.6594443321228027
2,1089,,3.925893545150757
2,1099,,4.507755756378174
2,1103,4.010591983795166,
3,1109,,4.2916741371154785
3,1119,,3.9399337768554688
3,1129,,3.6557912826538086
3,1139,,3.6681947708129883
3,1149,,3.103830099105835
3,1159,,4.295426368713379
3,1169,,3.480734348297119
3,1179,,3.6737308502197266
3,1189,,3.367863178253174
3,1199,,3.9752707481384277
3,1209,,3.626999855041504
3,1219,,3.771294116973877
3,1229,,3.1774232387542725
3,1239,,4.118900299072266
3,1249,,3.493370771408081
3,1259,,3.789802074432373
3,1269,,3.70688533782959
3,1279,,3.2894785404205322
3,1289,,3.668652296066284
3,1299,,4.5934529304504395
3,1309,,4.2952351570129395
3,1319,,3.2216737270355225
3,1329,,3.7586164474487305
3,1339,,3.2699975967407227
3,1349,,3.0864131450653076
3,1359,,4.24517822265625
3,1369,,3.0315780639648438
3,1379,,3.6128320693969727
3,1389,,3.641695261001587
3,1399,,3.8787946701049805
3,1409,,2.8848440647125244
3,1419,,2.8819310665130615
3,1429,,3.9963583946228027
3,1439,,3.9796173572540283
3,1449,,3.5431368350982666
3,1459,,3.676910400390625
3,1469,,3.183960199356079
3,1471,3.6930084228515625,
4,1479,,3.27888822555542
4,1489,,3.713517665863037
4,1499,,3.413182497024536
4,1509,,4.068241119384766
4,1519,,3.3509647846221924
4,1529,,3.1820530891418457
4,1539,,3.8149783611297607
4,1549,,3.1453845500946045
4,1559,,2.874208450317383
4,1569,,3.214960813522339
4,1579,,3.4544384479522705
4,1589,,4.005899429321289
4,1599,,3.149791955947876
4,1609,,3.2096688747406006
4,1619,,3.7610344886779785
4,1629,,3.7100560665130615
4,1639,,2.9293386936187744
4,1649,,3.601837158203125
4,1659,,3.242954730987549
4,1669,,2.937669038772583
4,1679,,3.0381245613098145
4,1689,,3.475843906402588
4,1699,,2.9080326557159424
4,1709,,3.3810243606567383
4,1719,,2.7002382278442383
4,1729,,4.154367923736572
4,1739,,4.098573684692383
4,1749,,3.712315082550049
4,1759,,3.1478912830352783
4,1769,,3.501603603363037
4,1779,,3.361524820327759
4,1789,,3.3452160358428955
4,1799,,3.219662666320801
4,1809,,3.6666719913482666
4,1819,,3.285477638244629
4,1829,,3.30043625831604
4,1839,,3.5775108337402344
4,1839,3.461456537246704,
5,1849,,3.6021323204040527
5,1859,,3.250737428665161
5,1869,,3.3318943977355957
5,1879,,2.998971700668335
5,1889,,3.5397791862487793
5,1899,,3.6706323623657227
5,1909,,3.1769580841064453
